name,city,category,address_line1,postcode,phone,website
The Abbey Mill,Bristol,Coastal Venues,99 Bridge Road,PD9 4SX,01632 960628,https://example.com/the-abbey-mill-107
The Grange Barn,Lincoln,Vineyards,1 High Street,AF9 5PQ,01632 960890,https://example.com/the-grange-barn-108
The Long Place,Liverpool,Manor Houses,59 Manor Way,AC17 4RS,01632 960161,https://example.com/the-long-place-109
The Ash Estate,Windsor,Historic Halls,87 Church Road,CB5 3ZB,01632 960278,https://example.com/the-ash-estate-110
The Mill Cellars,Norwich,Riverside Venues,45 Abbey Road,TS9 4WE,01632 960113,https://example.com/the-mill-cellars-111
The Rose Pavilion,Chester,Golf Clubs,39 Station Road,BH13 1AH,01632 960785,https://example.com/the-rose-pavilion-112
The Long Yard,Coventry,Historic Halls,49 Castle Street,DA16 7GF,01632 960720,https://example.com/the-long-yard-113
The North Park,Liverpool,Woodland Venues,74 Abbey Road,BS1 8DP,01632 960587,https://example.com/the-north-park-114
The Elm Cellars,Coventry,Hotels,107 Manor Way,RA11 3ZT,01632 960090,https://example.com/the-elm-cellars-115
The Stone House,Derby,City Venues,43 High Street,RC13 5PJ,01632 960078,https://example.com/the-stone-house-116
The Priory House,Chester,Museum Venues,19 Park Avenue,GP12 3JE,01632 960202,https://example.com/the-priory-house-117
The West Lodge,Richmond,Castles,42 Manor Way,FW15 8YZ,01632 960154,https://example.com/the-west-lodge-118
The Mill Hall,Cambridge,Industrial Venues,10 Park Avenue,ML19 1QW,01632 960472,https://example.com/the-mill-hall-119
The Mill Court,Leeds,Coastal Venues,75 Castle Street,MC3 9RT,01632 960977,https://example.com/the-mill-court-120
The Great Retreat,Winchester,Marquee Venues,14 Manor Way,NW17 3BT,01632 960731,https://example.com/the-great-retreat-121
The Little Grange,Manchester,Garden Venues,47 Manor Way,TT17 9ZG,01632 960939,https://example.com/the-little-grange-122
The Rose Place,Belfast,Historic Halls,87 Abbey Road,BN3 6EX,01632 960290,https://example.com/the-rose-place-123
The South Lodge,Swansea,Castles,91 Church Road,EP10 7FZ,01632 960317,https://example.com/the-south-lodge-124
The Grange Place,Shrewsbury,Historic Halls,47 Park Avenue,EC14 9QA,01632 960184,https://example.com/the-grange-place-125
The East Gardens,Richmond,Pub & Inn Venues,109 Church Road,GH5 3DN,01632 960519,https://example.com/the-east-gardens-126
The Grange Court,Truro,Historic Halls,104 High Street,ER5 3GZ,01632 960738,https://example.com/the-grange-court-127
The Mill Court,Belfast,Coastal Venues,69 Station Road,HT20 5TJ,01632 960316,https://example.com/the-mill-court-128
The Abbey Farm,Glasgow,Farm Venues,54 High Street,TT10 7WW,01632 960836,https://example.com/the-abbey-farm-129
The East Lodge,Wolverhampton,Country Houses,37 Church Road,WP18 2WE,01632 960781,https://example.com/the-east-lodge-130
The West Yard,Bath,Museum Venues,120 Mill Lane,ES3 4TQ,01632 960424,https://example.com/the-west-yard-131
The Great Place,Exeter,Coastal Venues,41 Church Road,HR3 6JA,01632 960859,https://example.com/the-great-place-132
The Oak Lodge,Nottingham,Country Houses,1 Church Road,MW5 8TZ,01632 960019,https://example.com/the-oak-lodge-133
The South Farm,Leicester,Boutique Venues,7 Station Road,SD10 4NE,01632 960429,https://example.com/the-south-farm-134
The Hollow Retreat,Liverpool,Hotels,55 Mill Lane,WA17 4FN,01632 960629,https://example.com/the-hollow-retreat-135
The Ash Mill,Winchester,City Venues,70 Castle Street,FC17 6DW,01632 960805,https://example.com/the-ash-mill-136
The Priory Barn,Aberdeen,Pub & Inn Venues,101 Church Road,BR12 5AQ,01632 960353,https://example.com/the-priory-barn-137
The North House,Richmond,Farm Venues,105 High Street,NE2 6XP,01632 960850,https://example.com/the-north-house-138
The Mill Pavilion,Cheltenham,Stately Homes,6 Station Road,EC15 1NH,01632 960907,https://example.com/the-mill-pavilion-139
The Great Gardens,Bradford,Museum Venues,46 Mill Lane,RW9 1HN,01632 960886,https://example.com/the-great-gardens-140
The Oak Yard,Newcastle upon Tyne,Coastal Venues,64 Farm Lane,SR15 7PG,01632 960376,https://example.com/the-oak-yard-141
The Priory Yard,Sheffield,City Venues,42 Church Road,CS20 3XN,01632 960081,https://example.com/the-priory-yard-142
The Oak Estate,Bradford,Industrial Venues,94 Manor Way,SF15 6TB,01632 960629,https://example.com/the-oak-estate-143
The Stone Yard,Cheltenham,Country Houses,19 Bridge Road,CR12 9GA,01632 960694,https://example.com/the-stone-yard-144
The Mill Court,Nottingham,Castles,78 High Street,HP12 7YB,01632 960695,https://example.com/the-mill-court-145
The Mill Park,Glasgow,Industrial Venues,84 Park Avenue,CE17 6RP,01632 960255,https://example.com/the-mill-park-146
The Abbey Place,Canterbury,Hotels,89 Farm Lane,LL15 4ZN,01632 960204,https://example.com/the-abbey-place-147
The High Lodge,Liverpool,Industrial Venues,71 Castle Street,FT3 6QD,01632 960297,https://example.com/the-high-lodge-148
The Rose Grange,Bangor,Stately Homes,102 Farm Lane,PH4 4FJ,01632 960026,https://example.com/the-rose-grange-149
The Ash Park,Oxford,Boutique Venues,68 Abbey Road,EC3 5RU,01632 960787,https://example.com/the-ash-park-150
The Stone Hall,Nottingham,Historic Halls,113 Castle Street,CT15 9QF,01632 960655,https://example.com/the-stone-hall-151
The Manor Grange,Richmond,Manor Houses,22 High Street,SB4 9FN,01632 960330,https://example.com/the-manor-grange-152
The North Park,Chester,Golf Clubs,81 Park Avenue,CL7 9LF,01632 960629,https://example.com/the-north-park-153
The Grange Hall,Exeter,Stately Homes,106 Mill Lane,EF20 6YB,01632 960083,https://example.com/the-grange-hall-154
The Great Yard,Shrewsbury,Marquee Venues,62 Station Road,SA16 9NN,01632 960824,https://example.com/the-great-yard-155
The Elm Estate,Oxford,Castles,27 Manor Way,BF15 7UT,01632 960621,https://example.com/the-elm-estate-156
The Long Gardens,Bangor,Historic Halls,14 Manor Way,PR5 6WX,01632 960247,https://example.com/the-long-gardens-157
The Mill House,Stoke-on-Trent,Industrial Venues,111 Bridge Road,HE4 1NR,01632 960428,https://example.com/the-mill-house-158
The North Grange,Cardiff,Farm Venues,64 Park Avenue,NG6 8WT,01632 960509,https://example.com/the-north-grange-159
The Old Hall,Dundee,Museum Venues,37 Farm Lane,TH7 6BB,01632 960611,https://example.com/the-old-hall-160
The Abbey Estate,Durham,Barn Venues,47 Mill Lane,DS5 5QR,01632 960410,https://example.com/the-abbey-estate-161
The Great Farm,Glasgow,Boutique Venues,36 Bridge Road,MC13 9TX,01632 960696,https://example.com/the-great-farm-162
The Hollow House,Nottingham,Hotels,26 Bridge Road,RP11 9QF,01632 960521,https://example.com/the-hollow-house-163
The Elm Court,Manchester,Country Houses,78 Castle Street,EN16 9TF,01632 960143,https://example.com/the-elm-court-164
The Oak Gardens,Southampton,Woodland Venues,91 Bridge Road,MN17 9XU,01632 960306,https://example.com/the-oak-gardens-165
The Abbey Barn,Glasgow,Historic Halls,61 Park Avenue,DS19 5AZ,01632 960990,https://example.com/the-abbey-barn-166
The Manor Mill,Windsor,Country Houses,5 Bridge Road,WF17 7FJ,01632 960970,https://example.com/the-manor-mill-167
The High Farm,Birmingham,Industrial Venues,65 Bridge Road,NS5 7HS,01632 960942,https://example.com/the-high-farm-168
The Abbey Court,Bangor,Manor Houses,23 Farm Lane,GN16 9RP,01632 960934,https://example.com/the-abbey-court-169
The Grange Gardens,Durham,Coastal Venues,39 Station Road,LW7 4LX,01632 960964,https://example.com/the-grange-gardens-170
The Rose Estate,Bangor,Marquee Venues,37 Church Road,WN16 6XL,01632 960587,https://example.com/the-rose-estate-171
The Grange Place,Dundee,Coastal Venues,119 Farm Lane,EM2 5DQ,01632 960671,https://example.com/the-grange-place-172
The South Pavilion,Plymouth,Marquee Venues,31 Station Road,LL5 2ZY,01632 960051,https://example.com/the-south-pavilion-173
The Priory Mill,Cheltenham,Garden Venues,88 High Street,BD14 6UE,01632 960005,https://example.com/the-priory-mill-174
The Grange Grange,Belfast,Pub & Inn Venues,117 Church Road,WG10 6NB,01632 960667,https://example.com/the-grange-grange-175
The Manor Mill,Durham,Country Houses,24 Park Avenue,FS6 1RU,01632 960897,https://example.com/the-manor-mill-176
The Great Barn,Bradford,Farm Venues,64 High Street,DN10 8XW,01632 960871,https://example.com/the-great-barn-177
The Priory Retreat,Stoke-on-Trent,Marquee Venues,2 Manor Way,DN6 8LG,01632 960809,https://example.com/the-priory-retreat-178
The Rose Farm,Portsmouth,Riverside Venues,86 Church Road,RS17 6DR,01632 960189,https://example.com/the-rose-farm-179
The Long Pavilion,Cardiff,Garden Venues,43 Park Avenue,AL13 4TL,01632 960596,https://example.com/the-long-pavilion-180
The Manor Barn,Wolverhampton,Coastal Venues,52 Castle Street,HB4 8NG,01632 960945,https://example.com/the-manor-barn-181
The Rose House,Cheltenham,Golf Clubs,59 Bridge Road,PH8 3UF,01632 960382,https://example.com/the-rose-house-182
The Stone Pavilion,Richmond,Boutique Venues,68 Manor Way,GH20 2WT,01632 960079,https://example.com/the-stone-pavilion-183
The Manor House,Leeds,Boutique Venues,15 Station Road,GE6 6WT,01632 960734,https://example.com/the-manor-house-184
The Manor Pavilion,Sheffield,Museum Venues,59 Bridge Road,TB15 3WS,01632 960059,https://example.com/the-manor-pavilion-185
The Grange Retreat,Inverness,Golf Clubs,10 Mill Lane,AR9 1HY,01632 960433,https://example.com/the-grange-retreat-186
The Ash Hall,Durham,Country Houses,99 High Street,CW2 5SG,01632 960784,https://example.com/the-ash-hall-187
The Stone Park,Aberdeen,Industrial Venues,16 High Street,RR3 9FQ,01632 960550,https://example.com/the-stone-park-188
The Elm Lodge,Windsor,Garden Venues,69 Abbey Road,AA10 8XS,01632 960843,https://example.com/the-elm-lodge-189
The North Mill,Oxford,Coastal Venues,79 Mill Lane,EL7 2BS,01632 960246,https://example.com/the-north-mill-190
The East Hall,Bristol,Riverside Venues,52 Farm Lane,BT20 1JB,01632 960239,https://example.com/the-east-hall-191
The Grange Farm,Richmond,Country Houses,99 Manor Way,EM8 6YZ,01632 960242,https://example.com/the-grange-farm-192
The Rose Lodge,Truro,Museum Venues,76 High Street,HS10 5BX,01632 960641,https://example.com/the-rose-lodge-193
The Stone Pavilion,Leeds,Coastal Venues,49 High Street,RN14 7FN,01632 960772,https://example.com/the-stone-pavilion-194
The Grange Pavilion,Derby,Garden Venues,54 Castle Street,ME15 1XS,01632 960542,https://example.com/the-grange-pavilion-195
The Long Place,Derby,Vineyards,69 Station Road,GN3 8QD,01632 960052,https://example.com/the-long-place-196
The South Place,Inverness,Riverside Venues,27 Manor Way,BC7 9HU,01632 960310,https://example.com/the-south-place-197
The Old Farm,Brighton,Hotels,71 Manor Way,WH20 4RJ,01632 960794,https://example.com/the-old-farm-198
The Rose Place,Oxford,Boutique Venues,60 Church Road,PM9 6WU,01632 960822,https://example.com/the-rose-place-199
